City,City,Country,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
197,Pisco,PE,-13.7,-76.2167,69.85,68,0,,clear sky
198,Adrar,MR,20.5022,-10.0711,73.54,14,0,,clear sky
199,Shingu,JP,33.7333,135.9833,49.62,69,16,,few clouds
200,Cockburn Town,TC,21.4612,-71.1419,82.36,69,40,,scattered clouds
201,Hosur,IN,12.7167,77.8167,58.5,65,98,,overcast clouds
202,Axim,GH,4.8699,-2.2405,78.6,82,65,,broken clouds
203,Kinablangan,PH,7.6947,126.5503,76.68,94,100,,heavy intensity rain
204,Bodaybo,RU,57.8506,114.1933,12.51,96,100,,overcast clouds
205,Russkaya Polyana,UA,49.417,31.9201,32.04,85,100,,overcast clouds
206,Havelock,US,34.8791,-76.9013,53.58,47,38,,scattered clouds
207,Emba,KZ,48.8264,58.1442,28.56,73,100,,overcast clouds
208,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,9.19,72,0,,clear sky
209,Ghorawal,IN,24.7667,82.7833,58.86,48,0,,clear sky
210,Rasskazovo,RU,52.6714,41.9033,27.97,98,98,,overcast clouds
211,Namibe,AO,-15.1961,12.1522,69.21,81,40,,scattered clouds
212,Yar-Sale,RU,66.8333,70.8333,17.67,84,100,,overcast clouds
213,Chopda,IN,21.25,75.3,67.17,41,0,,clear sky
214,Neyshabur,IR,36.2133,58.7958,55.98,41,100,,light rain
215,Moron,AR,-34.6534,-58.6198,88.95,55,41,,scattered clouds
216,Catuday,PH,16.2923,119.8062,79.21,75,92,,overcast clouds
217,Bulawayo,ZW,-20.15,28.5833,73.62,41,1,,clear sky
218,Lorengau,PG,-2.0226,147.2712,82.29,69,100,,overcast clouds
219,Dodge City,US,37.7528,-100.0171,34.05,64,100,,overcast clouds
220,Lipari,IT,38.4674,14.954,66.2,74,8,,clear sky
221,Iqaluit,CA,63.7506,-68.5145,10.13,72,100,,light snow
222,Clyde River,CA,70.4692,-68.5914,-1.97,78,100,,overcast clouds
223,Naushahro Firoz,PK,26.8424,68.123,70.92,42,1,,clear sky
224,Sibolga,ID,1.7427,98.7792,74.46,89,100,,overcast clouds
225,College,US,64.8569,-147.8028,13.59,84,0,,clear sky
226,Hualmay,PE,-11.0964,-77.6139,69.26,70,60,,broken clouds
227,Seymchan,RU,62.8833,152.4333,-30.75,99,75,,broken clouds
228,Zhigansk,RU,66.7697,123.3711,-9.49,97,100,,overcast clouds
229,Arkansas City,US,37.062,-97.0384,52.63,46,0,,clear sky
230,Pimenta Bueno,BR,-11.6725,-61.1936,86.59,59,99,,overcast clouds
231,Envira,BR,-7.3,-70.2167,87.46,55,88,,overcast clouds
232,Saint George,US,37.1041,-113.5841,53.94,30,0,,clear sky
233,Tyubuk,RU,56.0552,60.9405,-2.97,99,59,,broken clouds
234,Nome,US,64.5011,-165.4064,35.67,93,100,,light rain
235,Palmerston,AU,-12.486,130.9833,76.98,89,0,,clear sky
236,Minnedosa,CA,50.2453,-99.8436,14.56,82,100,,overcast clouds
237,Hovd,MN,48.0056,91.6419,19.85,39,85,,overcast clouds
238,Hami,CN,42.8,93.45,37.17,66,98,,overcast clouds
239,Khor,RU,47.8861,134.9464,26.64,74,100,,overcast clouds
240,Torbay,CA,47.6666,-52.7314,49.26,89,100,,overcast clouds
241,Cabo San Lucas,MX,22.8909,-109.9124,83.61,69,20,,few clouds
242,Porto Santo,PT,33.072,-16.3415,68.38,83,40,,scattered clouds
243,Iskateley,RU,67.6803,53.1512,31.89,92,100,,light snow
244,Konibodom,TJ,40.2843,70.4426,45.43,63,98,,overcast clouds
245,Aketi,CD,2.7388,23.7833,69.28,92,93,,overcast clouds
246,Talnakh,RU,69.4865,88.3972,-2.79,97,100,,light snow
247,Luderitz,NA,-26.6481,15.1594,59.86,71,7,,clear sky
248,Broken Hill,AU,-31.95,141.4333,59.36,42,44,,scattered clouds
249,Kargasok,RU,59.0556,80.8572,-11.65,98,28,,scattered clouds
250,Baoro,CF,5.6667,15.9667,70.97,46,90,,overcast clouds
